planet,species,z_exobase_km,knudsen,lambda_mfp_km,mass_amu,radius_AA,z_max_km,H0_km
inflated_hot_jupiter,NaCl,29422,1.0,1667,58.443,2.8,105786,1057.9
inflated_hot_jupiter,H2S,29507,1.0,1675,34.081,2.9,105786,1057.9
lava_world,H I,431,1.0,26,1.008,1.2,2407,24.1
lava_world,He I,434,1.0,26,4.003,1.43,2407,24.1
lava_world,H2,434,1.0,26,2.016,1.45,2407,24.1
lava_world,F I,435,1.0,26,18.998,1.47,2407,24.1
lava_world,O I,435,1.0,26,15.999,1.5,2407,24.1
lava_world,Be I,436,1.0,26,9.012,1.53,2407,24.1
lava_world,Ne I,436,1.0,26,20.18,1.54,2407,24.1
lava_world,N I,437,1.0,26,14.007,1.66,2407,24.1
lava_world,Cl I,439,1.0,26,35.45,1.75,2407,24.1
lava_world,OH,439,1.0,26,17.007,1.75,2407,24.1
lava_world,C I,439,1.0,26,12.011,1.77,2407,24.1
lava_world,Li I,440,1.0,26,6.94,1.82,2407,24.1
lava_world,Ar I,440,1.0,26,39.948,1.88,2407,24.1
lava_world,S I,440,1.0,26,32.06,1.89,2407,24.1
lava_world,P I,440,1.0,26,30.974,1.9,2407,24.1
lava_world,B I,441,1.0,26,10.81,1.92,2407,24.1
lava_world,CH4,442,1.0,26,16.042,2.0,2407,24.1
lava_world,O2,442,1.0,26,31.999,2.05,2407,24.1
lava_world,CO,443,1.0,26,28.01,2.1,2407,24.1
lava_world,NO,443,1.0,26,30.006,2.15,2407,24.1
lava_world,Si I,444,1.0,26,28.085,2.19,2407,24.1
lava_world,NH3,444,1.0,26,17.031,2.2,2407,24.1
lava_world,SO,444,1.0,26,48.059,2.2,2407,24.1
lava_world,SiO,444,1.0,26,44.084,2.2,2407,24.1
lava_world,Al I,445,1.0,26,26.982,2.25,2407,24.1
lava_world,HCN,445,1.0,26,27.026,2.25,2407,24.1
lava_world,CO2,445,1.0,26,44.01,2.3,2407,24.1
lava_world,TiO,445,1.0,26,63.866,2.3,2407,24.1
lava_world,PH3,446,1.0,26,33.998,2.35,2407,24.1
lava_world,C3,446,1.0,26,36.033,2.4,2407,24.1
