species	b_label	b_effective_kms	star_key	teff_k	beta	beta_err	n_half_beta_cm2
SO	0	1e-20	O0	50000	0.0		
SO	1	1.0	M6	3000	1.8130830611481024e-06		4.244096769988415e+16
SO	1	1.0	K1	5000	5.9514922911606364e-05		2.771935206440648e+16
SO	1	1.0	F8	6000	0.00046859131288881016		3497032648808790.5
SO	1	1.0	A6	8000	0.021633095767312132		1881086674656587.8
SO	1	1.0	A0	10000	0.19187118774821216		1695373929781562.2
SO	1	1.0	B5	15000	1.5308859055059398		1655119500215833.0
SO	1	1.0	B0	30000	12.140065112980826		1643697936836450.8
SO	1	1.0	O0	50000	35.493646344373865		1636556541875863.5
SO	10	10.0	M6	3000	1.7987994170655872e-06		4.195987389193172e+17
SO	10	10.0	K1	5000	5.4419980321836026e-05		3.193091396648268e+17
SO	10	10.0	F8	6000	0.0003694439559340385		5.497818674223705e+16
SO	10	10.0	A6	8000	0.01542534292804439		2.8067529680043736e+16
SO	10	10.0	A0	10000	0.12330995157829082		2.6301725782626024e+16
SO	10	10.0	B5	15000	0.9973697082489869		2.469907444168494e+16
SO	10	10.0	B0	30000	7.9121563172579545		2.428859878388595e+16
SO	10	10.0	O0	50000	22.837159997527024		2.4403747091464924e+16
SO	100	100.0	M6	3000	1.7382258712812927e-06		4.291781237502096e+18
SO	100	100.0	K1	5000	5.124757471538072e-05		3.6637174795921516e+18
SO	100	100.0	F8	6000	0.00035648631362607356		4.416098058793716e+17
SO	100	100.0	A6	8000	0.01960720762661147		2.068883214506594e+17
SO	100	100.0	A0	10000	0.1658174651438237		1.981515600198039e+17
SO	100	100.0	B5	15000	1.304179707329698		1.9152716188729987e+17
SO	100	100.0	B0	30000	10.309880857400636		1.875982010439965e+17
SO	100	100.0	O0	50000	30.017667841560737		1.873320634268657e+17
SO2	0	1e-20	M6	3000	0.0		
SO2	0	1e-20	K1	5000	0.0		
SO2	0	1e-20	F8	6000	0.0		
SO2	0	1e-20	A6	8000	0.0		
SO2	0	1e-20	A0	10000	0.0		
SO2	0	1e-20	B5	15000	0.0		
SO2	0	1e-20	B0	30000	0.0		
SO2	0	1e-20	O0	50000	0.0		
SO2	1	1.0	M6	3000	3.894461366334432e-07		3.043688785098153e+16
SO2	1	1.0	K1	5000	3.2723332323444475e-06		3.0817875158273988e+16
SO2	1	1.0	F8	6000	5.882075751531076e-06		3.0888589531924796e+16
SO2	1	1.0	A6	8000	1.132039699092081e-05		3.097877094045627e+16
SO2	1	1.0	A0	10000	1.9793027242229036e-05		3.0979801866894652e+16
SO2	1	1.0	B5	15000	3.188300404151257e-05		3.1022829055719388e+16
SO2	1	1.0	B0	30000	4.645542677365403e-05		3.107026790667152e+16
SO2	1	1.0	O0	50000	0.00010017939746550135		3.108540110853916e+16
SO2	10	10.0	M6	3000	3.824635755154896e-07		3.009691127235891e+17
SO2	10	10.0	K1	5000	3.2325123816013704e-06		3.045940207073193e+17
