species,b_label,b_effective_kms,star_key,teff_k,n_tau1_cm2,tau_check,beta,beta_err
Li II,10,10.0,K1,5000,73717925378477.97,1.0,8.777438622370972e-95,1.013161293774057e-97
Li II,10,10.0,F8,6000,73717925378477.97,1.0,1.0605391195946847e-54,1.2241576234965554e-57
Li II,10,10.0,A6,8000,73717925378477.97,1.0,7.988909892282541e-48,9.220241954446138e-51
Li II,10,10.0,A0,10000,73717925378477.97,1.0,1.1669588659928555e-37,1.3467478543251679e-40
Li II,10,10.0,B5,15000,73717925378477.97,1.0,4.82805574544491e-11,5.410721759340029e-14
Li II,10,10.0,B3,19000,73717925378477.97,1.0,8.758400231158213e-10,9.813949749066503e-13
Li II,10,10.0,B0,30000,73717925378477.97,1.0,6.877914195611579e-08,7.726962623863964e-11
Li II,10,10.0,O0,50000,73717925378477.97,1.0,2.6612397218464166,0.002789835533103873
Li II,100,100.0,M6,3000,734154276253898.4,0.9999999999999999,1.1981729493063367e-107,1.1165954497716266e-110
Li II,100,100.0,K1,5000,734154276253898.4,0.9999999999999999,8.773713070586952e-95,9.980964755472696e-98
Li II,100,100.0,F8,6000,734154276253898.4,0.9999999999999999,1.0598105912320866e-54,1.2052827313976737e-57
Li II,100,100.0,A6,8000,734154276253898.4,0.9999999999999999,7.981190870082421e-48,9.072538351839107e-51
Li II,100,100.0,A0,10000,734154276253898.4,0.9999999999999999,1.1657532128249542e-37,1.3249844159433038e-40
Li II,100,100.0,B5,15000,734154276253898.4,0.9999999999999999,4.8195569140251485e-11,5.314253102407412e-14
Li II,100,100.0,B3,19000,734154276253898.4,0.9999999999999999,8.749145852943031e-10,9.654295669288026e-13
Li II,100,100.0,B0,30000,734154276253898.4,0.9999999999999999,6.870755315359175e-08,7.601564543288564e-11
Li II,100,100.0,O0,50000,734154276253898.4,0.9999999999999999,2.6473766340064016,0.0027201862420721903
Li III,0,1e-20,M6,3000,,,,
Li III,0,1e-20,K1,5000,,,,
Li III,0,1e-20,F8,6000,,,,
Li III,0,1e-20,A6,8000,,,,
Li III,0,1e-20,A0,10000,,,,
Li III,0,1e-20,B5,15000,,,,
Li III,0,1e-20,B3,19000,,,,
Li III,0,1e-20,B0,30000,,,,
Li III,0,1e-20,O0,50000,,,,
Li III,1,1.0,M6,3000,,,,
Li III,1,1.0,K1,5000,,,,
Li III,1,1.0,F8,6000,,,,
Li III,1,1.0,A6,8000,,,,
Li III,1,1.0,A0,10000,,,,
Li III,1,1.0,B5,15000,,,,
Li III,1,1.0,B3,19000,,,,
Li III,1,1.0,B0,30000,,,,
Li III,1,1.0,O0,50000,,,,
Li III,10,10.0,M6,3000,,,,
Li III,10,10.0,K1,5000,,,,
Li III,10,10.0,F8,6000,,,,
Li III,10,10.0,A6,8000,,,,
Li III,10,10.0,A0,10000,,,,
Li III,10,10.0,B5,15000,,,,
Li III,10,10.0,B3,19000,,,,
Li III,10,10.0,B0,30000,,,,
Li III,10,10.0,O0,50000,,,,
Li III,100,100.0,M6,3000,,,,
Li III,100,100.0,K1,5000,,,,
Li III,100,100.0,F8,6000,,,,
Li III,100,100.0,A6,8000,,,,
Li III,100,100.0,A0,10000,,,,
Li III,100,100.0,B5,15000,,,,
Li III,100,100.0,B3,19000,,,,
Li III,100,100.0,B0,30000,,,,
Li III,100,100.0,O0,50000,,,,
Be I,0,1e-20,M6,3000,607176538.9287804,1.0,3.629968782364859e-09,1.8129386647064064e-10
Be I,0,1e-20,K1,5000,607176538.9287804,1.0,0.018184520276889892,0.0008210074417883414
Be I,0,1e-20,F8,6000,607176538.9287804,1.0,0.3832823756911244,0.017304184435600112
Be I,0,1e-20,A6,8000,607176538.9287804,1.0,70.67328585090617,3.186000613600666
Be I,0,1e-20,A0,10000,607176538.9287804,1.0,802.4991489345132,35.90965002814608
Be I,0,1e-20,B5,15000,607176538.9287804,1.0,7845.736886916718,350.70739221864653
Be I,0,1e-20,B3,19000,607176538.9287804,1.0,17073.684053160887,762.2806122029982
Be I,0,1e-20,B0,30000,607176538.9287804,1.0,71850.4792111078,3208.3779303826923
Be I,0,1e-20,O0,50000,607176538.9287804,1.0,207650.55379337107,9248.768671627986
Be I,1,1.0,M6,3000,209877849905.02713,1.0,2.221208951859814e-09,1.1207816107250514e-10
Be I,1,1.0,K1,5000,209877849905.02713,1.0,0.01027518397193124,0.00012154777404982252
Be I,1,1.0,F8,6000,209877849905.02713,1.0,0.21662217933722397,0.0025644924169567307
Be I,1,1.0,A6,8000,209877849905.02713,1.0,39.99355329401746,0.4721823818866622
Be I,1,1.0,A0,10000,209877849905.02713,1.0,457.01200284822505,5.326608932073661
Be I,1,1.0,B5,15000,209877849905.02713,1.0,4471.994386986644,52.037984906437245
Be I,1,1.0,B3,19000,209877849905.02713,1.0,9741.828293516583,113.14424535667007
Be I,1,1.0,B0,30000,209877849905.02713,1.0,40990.78549490572,476.27139899741456
Be I,1,1.0,O0,50000,209877849905.02713,1.0,118722.69763228964,1374.643220487568
Be I,10,10.0,M6,3000,2076977077873.3367,1.0,3.1689480676049157e-09,1.3673055569188214e-10
Be I,10,10.0,K1,5000,2076977077873.3367,1.0,0.009314007340188531,0.00010003649501436595
Be I,10,10.0,F8,6000,2076977077873.3367,1.0,0.2176065514827307,0.0024978335065473796
Be I,10,10.0,A6,8000,2076977077873.3367,1.0,40.175388069375565,0.4595517712490078
Be I,10,10.0,A0,10000,2076977077873.3367,1.0,457.16980783551645,5.144841152402632
Be I,10,10.0,B5,15000,2076977077873.3367,1.0,4459.7323167193335,49.95986364216529
Be I,10,10.0,B3,19000,2076977077873.3367,1.0,9724.533949254794,108.84307921515533
Be I,10,10.0,B0,30000,2076977077873.3367,1.0,40881.42432942256,457.3633638493197
Be I,10,10.0,O0,50000,2076977077873.3367,1.0,118404.78565748001,1320.0818828678032
Be I,100,100.0,M6,3000,20748022993370.55,1.0,1.0893387876518157e-08,2.2211127939243058e-10
Be I,100,100.0,K1,5000,20748022993370.55,1.0,0.012823336321868885,0.0001690897486308213
Be I,100,100.0,F8,6000,20748022993370.55,1.0,0.3950328065149426,0.00566565518580468
Be I,100,100.0,A6,8000,20748022993370.55,1.0,51.161679946163694,0.6685490079444297
Be I,100,100.0,A0,10000,20748022993370.55,1.0,507.27505389564965,6.052456945490844
Be I,100,100.0,B5,15000,20748022993370.55,1.0,4538.32092091908,51.411883964454084
Be I,100,100.0,B3,19000,20748022993370.55,1.0,10016.326994083618,113.15874191136687
Be I,100,100.0,B0,30000,20748022993370.55,1.0,40767.43162743378,453.34586751275833
Be I,100,100.0,O0,50000,20748022993370.55,1.0,118319.03096585092,1313.6143660179737
Be II,0,1e-20,M6,3000,3203999332.7627606,1.0,0.000801063870812205,2.0057087966258212e-06
Be II,0,1e-20,K1,5000,3203999332.7627606,1.0,1.5294576605611063,0.0036754074717932936
Be II,0,1e-20,F8,6000,3203999332.7627606,1.0,12.155221053478911,0.0295499758679457
Be II,0,1e-20,A6,8000,3203999332.7627606,1.0,95.0503929948008,0.2287221088343459
Be II,0,1e-20,A0,10000,3203999332.7627606,1.0,422.7488723656917,1.016585033834623
Be II,0,1e-20,B5,15000,3203999332.7627606,1.0,2419.773482449688,5.736587825538907
Be II,0,1e-20,B3,19000,3203999332.7627606,1.0,4539.75854568657,10.849546871040369
Be II,0,1e-20,B0,30000,3203999332.7627606,1.0,17697.379808164595,62.726082177723875
Be II,0,1e-20,O0,50000,3203999332.7627606,1.0,76810.81929716309,452.77145582887624
Be II,1,1.0,M6,3000,644473979044.2822,1.0,0.0006934518867218223,8.610656444187299e-07
Be II,1,1.0,K1,5000,644473979044.2822,1.0,1.3078405833113336,0.0014158658361883608
Be II,1,1.0,F8,6000,644473979044.2822,1.0,10.446215686427397,0.012073402665407061
Be II,1,1.0,A6,8000,644473979044.2822,1.0,80.75110234555788,0.08530527523739975
Be II,1,1.0,A0,10000,644473979044.2822,1.0,359.45812651245836,0.3818621082255629
Be II,1,1.0,B5,15000,644473979044.2822,1.0,2065.8207155744653,2.17748104305038
Be II,1,1.0,B3,19000,644473979044.2822,1.0,3922.904091336038,4.588347302096637
Be II,1,1.0,B0,30000,644473979044.2822,1.0,15914.288173396628,36.84670781204504
Be II,1,1.0,O0,50000,644473979044.2822,1.0,72737.96534852087,288.26902011971436
Be II,10,10.0,M6,3000,6426368477233.963,1.0,0.0005944536708332845,6.760233186991544e-07
Be II,10,10.0,K1,5000,6426368477233.963,1.0,1.6404355030250934,0.001901234460173773
Be II,10,10.0,F8,6000,6426368477233.963,1.0,10.930020030709219,0.01251111309307451
Be II,10,10.0,A6,8000,6426368477233.963,1.0,80.77588526906692,0.08475582329492361
Be II,10,10.0,A0,10000,6426368477233.963,1.0,359.33105884754735,0.3789863488378112
Be II,10,10.0,B5,15000,6426368477233.963,1.0,2064.679916911525,2.1605876243087927
Be II,10,10.0,B3,19000,6426368477233.963,1.0,3920.8535637780033,4.5611687466222275
Be II,10,10.0,B0,30000,6426368477233.963,1.0,15905.818409993997,36.7645735142722
Be II,10,10.0,O0,50000,6426368477233.963,1.0,72729.33049296445,287.9400411966331
Be II,100,100.0,M6,3000,64245325832606.48,1.0,0.0006051099461278304,6.37106661296023e-07
Be II,100,100.0,K1,5000,64245325832606.48,1.0,1.7056975396501453,0.0016910997202803535
Be II,100,100.0,F8,6000,64245325832606.48,1.0,12.752638460678844,0.013187492526145992
Be II,100,100.0,A6,8000,64245325832606.48,1.0,82.47386180070482,0.08773782957272469
Be II,100,100.0,A0,10000,64245325832606.48,1.0,359.13385545274303,0.37931075561885874
Be II,100,100.0,B5,15000,64245325832606.48,1.0,2048.638835844112,2.1364495918762954
Be II,100,100.0,B3,19000,64245325832606.48,1.0,3880.0755693949354,4.428157187840985
Be II,100,100.0,B0,30000,64245325832606.48,1.0,15312.21572992456,32.95479459354525
Be II,100,100.0,O0,50000,64245325832606.48,1.0,72642.85610566371,287.9014184360631
Be III,0,1e-20,M6,3000,,,,
Be III,0,1e-20,K1,5000,,,,
Be III,0,1e-20,F8,6000,,,,
Be III,0,1e-20,A6,8000,,,,
Be III,0,1e-20,A0,10000,,,,
Be III,0,1e-20,B5,15000,,,,
Be III,0,1e-20,B3,19000,,,,
Be III,0,1e-20,B0,30000,,,,
Be III,0,1e-20,O0,50000,,,,
Be III,1,1.0,M6,3000,,,,
Be III,1,1.0,K1,5000,,,,
Be III,1,1.0,F8,6000,,,,
Be III,1,1.0,A6,8000,,,,
Be III,1,1.0,A0,10000,,,,
Be III,1,1.0,B5,15000,,,,
Be III,1,1.0,B3,19000,,,,
Be III,1,1.0,B0,30000,,,,
Be III,1,1.0,O0,50000,,,,
Be III,10,10.0,M6,3000,,,,
Be III,10,10.0,K1,5000,,,,
Be III,10,10.0,F8,6000,,,,
Be III,10,10.0,A6,8000,,,,
Be III,10,10.0,A0,10000,,,,
Be III,10,10.0,B5,15000,,,,
Be III,10,10.0,B3,19000,,,,
Be III,10,10.0,B0,30000,,,,
Be III,10,10.0,O0,50000,,,,
Be III,100,100.0,M6,3000,,,,
Be III,100,100.0,K1,5000,,,,
Be III,100,100.0,F8,6000,,,,
Be III,100,100.0,A6,8000,,,,
Be III,100,100.0,A0,10000,,,,
Be III,100,100.0,B5,15000,,,,
