species	b_label	b_effective_kms	star_key	teff_k	beta	beta_err	n_half_beta_cm2
Ar I	0	1e-20	K1	5000	3.4321015242451355e-15	5.291790936746037e-17	32229097736.38651
Ar I	0	1e-20	F8	6000	1.5943778530285404e-09	2.831352377719337e-10	46783187491.92622
Ar I	0	1e-20	A6	8000	4.5990469115559106e-07	6.8415771828247495e-09	32553560669.955532
Ar I	0	1e-20	A0	10000	0.0020351741209548913	3.017696446553784e-05	32402481296.330215
Ar I	0	1e-20	B5	15000	137.47169901738997	2.011730640593398	32354525907.41989
Ar I	0	1e-20	B0	30000	6128.309604613065	101.56083277829732	33050132493.49598
Ar I	0	1e-20	O0	50000	39374.149859066536	2503.187100652527	36928107805.64431
Ar I	1	1.0	M6	3000	9.955589918120493e-29	1.9777082496026498e-30	9686109919247.188
Ar I	1	1.0	K1	5000	3.475013070842329e-15	3.2956601566829403e-17	3778943624320.299
Ar I	1	1.0	F8	6000	1.6142430838545457e-09	1.756858741228562e-10	9609198767129.63
Ar I	1	1.0	A6	8000	4.655867320758921e-07	4.262097970821749e-09	3469927527583.231
Ar I	1	1.0	A0	10000	0.0020603056804374773	1.8798782489961625e-05	3530662844934.5605
Ar I	1	1.0	B5	15000	139.16762438598337	1.2538033433767912	3310048209591.746
Ar I	1	1.0	B0	30000	6203.822023519752	63.25687470688196	3063601490590.615
Ar I	1	1.0	O0	50000	39861.42039180454	1553.4081608663582	4547325796803.084
Ar I	10	10.0	M6	3000	6.482218820140718e-28	1.295158751974059e-29	159154647846395.66
Ar I	10	10.0	K1	5000	4.000999773350378e-15	3.9971348959757255e-17	45034551637020.42
Ar I	10	10.0	F8	6000	1.6143971129255334e-09	1.7531085240160427e-10	95794378598264.86
Ar I	10	10.0	A6	8000	4.656872561132168e-07	4.246733472595246e-09	34481057528796.26
Ar I	10	10.0	A0	10000	0.0020605819850985523	1.8730580911249363e-05	35083846256465.555
Ar I	10	10.0	B5	15000	139.02048221406	1.2470329508013314	32839653169137.445
Ar I	10	10.0	B0	30000	6198.72684872913	62.972821146097694	30393253129887.504
Ar I	10	10.0	O0	50000	39867.914527405395	1550.011997390785	45212105329887.086
Ar I	100	100.0	M6	3000	5.4844123607032675e-27	9.513813560373712e-29	882005597077682.8
Ar I	100	100.0	K1	5000	1.3433022172965963e-14	1.3181912425463188e-16	467799202914856.06
Ar I	100	100.0	F8	6000	1.614564928410306e-09	1.7527324660108507e-10	957146928674570.1
Ar I	100	100.0	A6	8000	4.580421587719271e-07	4.193215156068208e-09	346438760811959.25
Ar I	100	100.0	A0	10000	0.0020284056319771005	1.8452937623275274e-05	347917437607508.6
Ar I	100	100.0	B5	15000	141.26467079081706	1.262762546199487	318208717756186.5
Ar I	100	100.0	B0	30000	6389.800332118004	64.91117630741509	305950258944505.44
Ar I	100	100.0	O0	50000	40012.47810590654	1549.8640829883923	453639110426069.75
Ar II	0	1e-20	M6	3000	4.9125185333041865e-37	2.0130841233863438e-37	254158017231.26462
Ar II	0	1e-20	K1	5000	7.849261020682085e-20	3.216521579091401e-20	254158015287.91776
Ar II	0	1e-20	F8	6000	3.926934034112198e-13	1.3948339005266808e-13	245140747993.4539
Ar II	0	1e-20	A6	8000	1.620877448101631e-09	6.613526317432331e-10	254024380194.87958
Ar II	0	1e-20	A0	10000	6.626524344467824e-06	2.6808786045427723e-06	253780476014.1152
Ar II	0	1e-20	B5	15000	0.21984833866700423	0.17151434143779726	208542159320.36255
Ar II	0	1e-20	B0	30000	144.23574073480353	87.12086069992142	237343549602.97195
Ar II	0	1e-20	O0	50000	13405.909072986433	9077.889784073985	230165342111.0055
Ar II	1	1.0	M6	3000	4.980910526696048e-37	1.2469242078926195e-37	85525877700285.88
Ar II	1	1.0	K1	5000	8.241198033170055e-20	2.0637769241359602e-20	88369333412026.98
Ar II	1	1.0	F8	6000	3.9999417771585734e-13	8.680506278349346e-14	52371275133454.24
Ar II	1	1.0	A6	8000	1.6409458813764247e-09	4.090188738192634e-10	84877426450269.7
Ar II	1	1.0	A0	10000	6.708491002941791e-06	1.6579999379880715e-06	83850193849076.86
Ar II	1	1.0	B5	15000	0.22242886572457035	0.10613008423950267	5979371165542.599
Ar II	1	1.0	B0	30000	145.95188847030443	53.882879343764394	8610722720074.71
Ar II	1	1.0	O0	50000	13564.512370278539	5615.664535616459	7168037767517.833
Ar II	10	10.0	M6	3000	5.632949677350128e-37	1.4126060114655598e-37	944178146801931.1
Ar II	10	10.0	K1	5000	2.059779176608463e-19	5.150350663809188e-20	1115177932045492.8
Ar II	10	10.0	F8	6000	5.97463156068342e-13	1.3077487648950577e-13	795589691227177.2
Ar II	10	10.0	A6	8000	1.629207725067622e-09	4.0558816078073423e-10	844824385204947.1
Ar II	10	10.0	A0	10000	6.6580377328516845e-06	1.6433574094669424e-06	834225780057864.1
Ar II	10	10.0	B5	15000	0.21893269845287666	0.10282012024325571	57941749310839.195
Ar II	10	10.0	B0	30000	146.36726305007713	53.32852384692519	84410757023765.84
Ar II	10	10.0	O0	50000	13573.425473778701	5536.868215132695	70241200875735.57
Ar II	100	100.0	M6	3000	2.1150551560256353e-34	5.287731278313918e-35	1.4505588925932612e+16
Ar II	100	100.0	K1	5000	3.2606006609113485e-19	8.151599421078774e-20	7535630961509617.0
Ar II	100	100.0	F8	6000	5.994363058763867e-11	1.495884222404002e-11	1.7632474281968144e+16
Ar II	100	100.0	A6	8000	1.5026581748222526e-09	3.739026327119328e-10	8243539912048763.0
Ar II	100	100.0	A0	10000	5.821883201289119e-06	1.4341776851802471e-06	7850174966474759.0
Ar II	100	100.0	B5	15000	0.15520378039881833	0.07193982426549458	498338550992528.44
Ar II	100	100.0	B0	30000	151.18789982482733	56.27904309261233	825794294681486.8
Ar II	100	100.0	O0	50000	13473.22982773479	5483.849022090893	696128070177249.9
Ar III	0	1e-20	M6	3000	1.987735474986815e-10	8.017687187808117e-11	4719264794.20971
Ar III	0	1e-20	K1	5000	4.0043437092894686e-08	1.6151777442944464e-08	4719291823.138386
Ar III	0	1e-20	F8	6000	1.3494636604041125e-07	5.431422216543749e-08	4734879313.810304
Ar III	0	1e-20	A6	8000	4.729439849759691e-07	1.9009076748361614e-07	4744941597.841264
Ar III	0	1e-20	A0	10000	4.3860458723181875e-06	1.1673148404544798e-06	95050614807.30875
Ar III	0	1e-20	B5	15000	0.018491979249681843	0.006004014343246907	158577463212.32007
Ar III	0	1e-20	B0	30000	53.73578127684325	17.429542100690227	158727302526.13617
Ar III	0	1e-20	O0	50000	2507.155799567103	813.7301951378472	158660289761.45517
Ar III	1	1.0	M6	3000	2.6865290459284915e-10	6.687383948686992e-11	3.9569169577677275e+19
Ar III	1	1.0	K1	5000	5.469630836664823e-08	1.3613888391161555e-08	4.007693719316132e+19
Ar III	1	1.0	F8	6000	1.8429742366242564e-07	4.5775849647396375e-08	4.000379650539345e+19
Ar III	1	1.0	A6	8000	6.461493934609625e-07	1.6020680224426437e-07	3.998801137933174e+19
Ar III	1	1.0	A0	10000	4.807722138096326e-06	7.608184141967865e-07	63313931993207.47
Ar III	1	1.0	B5	15000	0.01872324058158652	0.003717594632561223	31278306716694.31
Ar III	1	1.0	B0	30000	54.405521711624544	10.792093039816088	31316460469055.86
Ar III	1	1.0	O0	50000	2538.403759762045	503.84909047219975	31289940382318.75
Ar III	10	10.0	M6	3000	2.584779499660698e-10	6.434110104244215e-11	4.156553068390934e+20
